"","ano","id_municipio","qtd_cnes","Municipio"
"1",2010,"3103405",50,"Araçuaí"
"2",2010,"3112307",43,"Capelinha"
"3",2010,"3119500",7,"Coronel Murta"
"4",2010,"3133303",20,"Itaobim"
"5",2010,"3134004",9,"Itinga"
"6",2010,"3139201",17,"Malacacheta"
"7",2010,"3141405",16,"Medina"
"8",2010,"3141801",16,"Minas Novas"
"9",2010,"3148707",34,"Pedra Azul"
"10",2010,"3156502",7,"Rubelita"
"11",2010,"3157005",46,"Salinas"
"12",2010,"3168606",319,"Teófilo Otoni"
"13",2010,"3169703",9,"Turmalina"
"14",2010,"3171600",7,"Virgem da Lapa"
"15",2022,"3103405",83,"Araçuaí"
"16",2022,"3112307",99,"Capelinha"
"17",2022,"3119500",9,"Coronel Murta"
"18",2022,"3133303",46,"Itaobim"
"19",2022,"3134004",19,"Itinga"
"20",2022,"3139201",25,"Malacacheta"
"21",2022,"3141405",27,"Medina"
"22",2022,"3141801",45,"Minas Novas"
"23",2022,"3148707",42,"Pedra Azul"
"24",2022,"3156502",12,"Rubelita"
"25",2022,"3157005",89,"Salinas"
"26",2022,"3168606",499,"Teófilo Otoni"
"27",2022,"3169703",49,"Turmalina"
"28",2022,"3171600",16,"Virgem da Lapa"
